neighborhood,total_segments,total_length_ft,high_risk_segments,high_risk_length_ft,avg_risk_score,max_risk_score,avg_canopy_per_ft,total_miles,high_risk_miles,pct_high_risk
Phinney Ridge,1522,111920.31170983933,368,32672.43438013848,0.1429087088603139,0.333283611742229,63.441217653147724,21.197028732924114,6.187961056844409,24.2
Meadowbrook,525,43429.374011314285,124,18343.20333163921,0.1289680849472722,0.23789276073973026,98.25009317626696,8.225260229415584,3.474091540083184,23.6
Leschi,722,51547.12781594612,165,14567.160366734533,0.13885969852342112,0.3359621292565411,81.30184996107258,9.762713601504947,2.758931887639116,22.9
Broadview,1159,99504.16931447304,263,38561.22574715542,0.12976313166266512,0.3423144738831845,85.19183051284425,18.84548661258959,7.303262452112769,22.7
Gatewood,1104,86682.90855360792,249,23883.055256479885,0.13837585321964496,0.32808108133910213,47.64903738306573,16.417217529092408,4.523305919787857,22.6
Highland Park,1141,94342.63514821805,255,34012.08433199888,0.13089002170285524,0.32964005691931303,52.96857259434195,17.867923323526146,6.441682638636151,22.3
North Admiral,2105,155118.5475568436,465,45219.08701662377,0.13678904223980498,0.8000042212362382,74.00314538651509,29.378512794856743,8.564221025875714,22.1
Interbay,781,58817.325374997345,170,19224.9026094332,0.13416944565449326,0.332553783808731,32.77960086798083,11.13964495738586,3.6410800396653786,21.8
Industrial District,1185,108873.32157923734,256,44739.23443720807,0.1258172272657321,0.3550011686707411,13.745705319615205,20.61994726879495,8.473339855531831,21.6
North Queen Anne,1640,119467.13384595927,352,33054.463012018656,0.13818477302918833,0.341474975259354,68.09053230196234,22.626351107189254,6.260314964397472,21.5
Madison Park,368,29819.90128335725,77,9311.132485772696,0.1358961513728993,0.3348501795451105,67.43386944077386,5.647708576393418,1.7634720616993742,20.9
International District,171,11878.132247175714,35,3683.3034515960385,0.13283672706426547,0.3271264007100191,38.73312177825611,2.2496462589347943,0.6975953506810679,20.5
North Beacon Hill,1774,129583.13615457731,363,34994.78310929898,0.13454423323952955,0.34290343282230906,36.98284161195518,24.54226063533661,6.627799831306625,20.5
Southeast Magnolia,773,59427.715403650844,151,15453.32246580446,0.13463399132608614,0.3342547947298347,53.26563923449062,11.255249129479326,2.926765618523572,19.5
Lower Queen Anne,807,52886.72623830458,144,12868.125880714852,0.1294437127879796,0.30972304522818694,56.32238929985241,10.016425423921323,2.4371450531656915,17.8
Victory Heights,901,71646.197095135,158,27711.521925778186,0.12178757500808546,0.24616535456939326,92.43557957774611,13.569355510442234,5.248394304124656,17.5
Matthews Beach,1189,96455.8845620177,207,33395.92274335249,0.12430766087636327,0.24958496367532723,102.79633474455571,18.268159954927594,6.324985368059183,17.4
Harbor Island,196,17478.318715326684,34,6725.2964984571845,0.1186390114001942,0.15477767275742477,1.0715759897377226,3.310287635478539,1.2737303974350729,17.3
